"HereNow Office","1.317907","103.843643","165A Thomson Road","","Singapore",""
"Aljunied MRT","1.316441","103.88298","","Aljunied","Singapore","MapMRTEWL.png"
"Ang Mo Kio MRT","1.3699487","103.8496164","","Ang Mo Kio","Singapore","MapMRTNSL.png"
"Marina Bay MRT","1.2762791","103.8548391","","Marina Bay","Singapore","MapMRTMarinaBay.png"
"Bedok MRT","1.3240383","103.9300356","","Bedok","Singapore","MapMRTEWL.png"
"Braddel MRT","1.3404441","103.8467999","","Braddell","Singapore","MapMRTNSL.png"
"Bugis MRT","1.3001303","103.8562818","","Bugis","Singapore","MapMRTBugis.png"
"Boon Lay MRT","1.3388402","103.7055463","","Boon Lay","Singapore","MapMRTEWL.png"
"Buona Vista MRT","1.3067609","103.7903848","","Buona Vista","Singapore","MapMRTBuonaVista.png"
"Bishan MRT","1.351086","103.8487756","","Bishan","Singapore","MapMRTBishan.png"
"Bukit Batok MRT","1.3489966","103.7495407","","Bukit Batok","Singapore","MapMRTNSL.png"
"Choa Chu Kang MRT","1.3851009","103.7444056","21 Choa Chu Kang Avenue 4","Choa Chu Kang","Singapore","MapMRTCCK.png"
"Clementi MRT","1.3150782","103.765233","","Clementi","Singapore","MapMRTEWL.png"
"Commonwealth MRT","1.302559","103.798225","","Commonwealth","Singapore","MapMRTEWL.png"
"City Hall MRT","1.2929332","103.8526085","","City Hall","Singapore","MapMRTCityHall.png"
"Dhoby Ghaut MRT","1.2993753","103.8457155","","Dhoby Ghaut","Singapore","MapMRTDhobyGhaut.png"
"Eunos MRT","1.3197792","103.9033618","","Eunos","Singapore","MapMRTEWL.png"
"Bukit Gombak MRT","1.3586719","103.7519101","","Bukit Gombak","Singapore","MapMRTNSL.png"
"Chinese Gardens MRT","1.342145","103.7328144","","Chinese Garden","Singapore","MapMRTEWL.png"
"Jurong East MRT","1.333209","103.7422632","","Jurong East","Singapore","MapMRTJurongEast.png"
"Kembangan MRT","1.3210381","103.9129475","","Kembangan","Singapore","MapMRTEWL.png"
"Kranji MRT","1.4252396","103.7621806","","Kranji","Singapore","MapMRTNSL.png"
"Kallang MRT","1.3113966","103.8713153","","Kallang","Singapore","MapMRTEWL.png"
"Khatib MRT","1.4175768","103.8330381","","Khatib","Singapore","MapMRTNSL.png"
"Lakeside MRT","1.3442632","103.7209653","","Lakeside","Singapore","MapMRTEWL.png"
"Lavendar MRT","1.3073717","103.8628378","","Lavender","Singapore","MapMRTEWL.png"
